id,older,newer
67730,1906,
67731,1904,
67732,1906,1907
67733,1886,
67734,1881,
67736,1915,
67737,1906,
67738,1891,
67739,1891,
67740,1890,
67741,1910,
67742,1908,
67743,1898,
67744,1926,
67745,1941,1956
67746,1904,
67747,1920,
67748,1912,
67749,1863,
67750,1917,
67751,1907,
67752,1920,
67753,1906,
67754,1909,
67755,1820,
67756,1905,
67757,1891,
67758,1876,
67759,1890,
67760,1919,
67761,1907,
67762,1926,
67763,1903,
67764,1922,
67765,1905,
67766,1883,1884
67767,1907,
67768,1884,
67769,1880,
67770,1891,
67771,1903,
67772,1919,
67773,1905,
67774,1914,
67775,1922,
67776,1907,1908
67777,1907,1908
67778,1859,
67779,1872,
67780,1919,
67781,1921,
67782,1924,
67783,1960,
67784,1906,
67785,1905,
67786,1976,
67787,1910,
67788,1893,1900
67789,1904,
67790,1831,
67791,1916,
67792,1923,
67793,1905,
67794,1905,
67795,1922,
67798,1900,
67799,1901,
67800,1956,1958
67801,1911,
67802,1923,
67803,1905,
67804,1895,
67805,1916,
67806,1910,
67807,1921,
67808,1910,
67809,1866,
67810,1906,
67811,1917,1921
67812,1926,
67813,1919,
67814,1911,
67815,1798,
67816,1829,
67817,1907,
67818,1906,
67819,1920,
67820,1949,
67821,1880,
67822,1913,
67823,1922,
67824,1820,
67825,1895,
67826,1926,
67827,1882,1883
67828,1880,
67829,1904,
67830,1908,
67831,1870,
67832,1856,1857
67833,1917,
67834,1925,
67835,1891,
67836,1765,
67837,1920,
67838,1871,
67839,1960,
67840,1882,
67841,1907,
67842,1910,
67843,1925,
67844,1906,
67845,1904,
67846,1848,
67847,1798,
67848,1925,
67849,1917,
67850,1889,
67852,1917,
67853,1896,
67854,1916,
67855,1920,
67856,1922,
67857,1923,1973
67859,1873,
67860,1910,
67861,1895,
67862,1925,
67863,1921,
67864,1906,
67865,1921,
67866,1906,
67867,1916,
67868,1910,1923
67869,1888,
67870,1922,
67871,1905,
67872,1863,
67873,1881,
67874,1904,
67875,1906,
67876,1905,
67877,1905,
67878,1923,
67879,1906,
67880,1899,
67881,1897,
67882,1923,
67883,1894,
67884,1904,
67885,1919,
67886,1908,
67887,1911,
67888,1778,1942
67889,1922,
67890,1923,1924
67891,1908,
67892,1846,
67893,1924,
67894,1924,
67895,1921,
67896,1922,
67897,1922,
67898,1912,
67899,1911,
67900,1908,
67901,1896,1924
67902,1908,
67903,1850,
67904,1861,1895
67905,1903,
67906,1903,
67907,1905,
67908,1916,
67909,1906,
67910,1919,
67911,1910,1923
67912,1910,
67913,1922,
67914,1895,
67915,1926,
67916,1923,
67917,1925,
67918,1879,
67919,1886,
67920,1897,
67921,1892,
67922,1884,
67923,1943,
67924,1907,
67925,1897,
67926,1897,
67927,1903,
67928,1890,
67929,1923,
67930,1926,
67931,1908,
67932,1818,
67933,1908,
67934,1895,
67935,1906,
67936,1919,
67937,1920,
67938,1916,
67939,1887,
67940,1908,
67941,1895,
67942,1899,
67943,1910,1923
67944,1926,
67945,1922,
67946,1905,
67947,1916,
67948,1921,
67949,1922,
67950,1857,
67951,1916,
67952,1912,
67953,1909,
67954,1922,
67955,1910,1923
67956,1907,2021
67957,1896,1903
67958,1876,1884
67959,1838,1843
67960,1922,
67961,1821,
67962,1842,
67963,1882,
67964,1907,
67965,1890,
67966,1897,
67967,1855,
67968,1948,
67969,1880,
67970,1915,
67971,1922,
67972,1914,
67973,1917,
67974,1920,
67975,1842,
67976,1926,
67977,1924,1925
67978,1924,
67979,1926,
67980,1866,
67981,1912,
67982,1910,1923
67983,1842,
67984,1909,
67985,1877,
67986,1923,
67987,1908,1913
67988,1924,
67989,1909,
67990,1919,
67991,1911,
67992,1920,
67993,1914,
67994,1853,
67995,1842,
67996,1859,
67997,1910,
67998,1944,
67999,1909,
68000,1943,
68001,1944,
68002,1945,
68003,1944,
68004,1945,
68005,1942,
68006,1943,
68007,1945,
68008,1947,1949
68009,1900,
68010,1918,
68011,1895,
68012,1886,
68013,1871,1884
68014,1842,
68015,1878,
68016,1872,1884
68017,1913,
68018,1882,
68022,1914,1915
68023,1912,1913
68024,1907,
68025,1912,
68026,1912,
68027,1842,
68031,1865,
68032,1925,
68033,1898,1906
68034,1919,
68035,1853,
68036,1908,
68037,1923,
68038,1915,
68039,1901,1902
68040,1879,
68041,1903,
68042,1835,
68043,1898,
68044,1923,
68045,1902,
68047,1944,
68048,1926,
68049,1894,
68050,1845,1867
68051,1905,1910
68052,1907,
68053,1899,
68054,1893,
68055,1916,
68056,1792,
68057,1894,
68058,1899,
68059,1873,
68060,1955,
68061,1926,2013
68062,1916,1919
68063,1923,
68064,1923,
68065,1916,
68066,1900,
68067,1892,1898
68068,1815,
68069,1912,
68070,1907,
68071,1912,
68072,1920,
68073,1853,
68074,1923,
68075,1917,
68076,1946,
68077,1772,
68078,1853,
68079,1922,
68080,1821,
68081,1912,
68082,1916,
68083,1910,
68084,1926,
68085,1916,
68086,1909,
68087,1911,
68088,1926,
68089,1914,1915
68090,1851,
68092,1924,
68093,1880,
68094,1914,1915
68095,1894,
68096,1892,
68097,1924,
68098,1921,
68099,1885,
68100,1920,
68101,1897,1913
68102,1872,1884
68103,1893,
68104,1853,
68105,1926,
68106,1914,1915
68107,1946,
68108,1914,1915
68109,1915,
68110,1875,
68111,1818,
68112,1920,1924
68113,1909,
68114,1908,
68115,1908,
68116,1914,1915
68117,1879,
68118,1912,
68119,1907,
68121,1910,
68122,1904,
68123,1897,
68124,1905,
68125,1853,
68126,1863,
68127,1907,
68128,1907,
68129,1909,
68130,1892,
68131,1911,
68132,1925,
68133,1761,
68134,1925,
68135,1918,
68136,1907,
68137,1903,
68138,1924,
68139,1910,1923
68140,1914,1915
68141,1836,
68142,1896,
68143,1916,
68144,1792,
68145,1924,
68146,1865,1866
68147,1918,
68148,1906,
68149,1915,
68150,1946,
68151,1922,1924
68152,1915,
68153,1923,
68154,1926,
68155,1902,
68156,1918,
68157,1879,
68158,1877,
68159,1908,
68160,1895,
68161,1945,
68162,1899,
68163,1923,
68164,1890,
68165,1875,
68166,1908,
68167,1947,
68168,1912,
68169,1923,
68170,1947,
68171,1820,
68172,1918,
68173,1913,
68174,1913,
68175,1860,
68176,1875,
68177,1923,
68178,1890,
68179,1874,
68180,1925,1931
68181,1907,
68182,1907,
68183,1914,
68184,1947,
68185,1916,1923
68186,1913,
68187,1831,
68188,1906,
68189,1923,1924
68190,1910,1923
68191,1903,
68192,1898,
68193,1900,
68194,1915,
68195,1908,
68196,1946,
68197,1946,
68198,1916,
68199,1923,
68200,1921,
68201,1925,
68202,1947,
68203,1948,
68204,1910,
68205,1908,
68206,1916,
68207,1898,
68208,1944,
68209,1905,
68210,1917,
68211,1885,
68212,1842,
68213,1922,
68214,1880,
68215,1947,
68216,1909,
68217,1860,
68218,1945,
68219,1908,
68220,1893,
68221,1899,
68222,1897,
68223,1945,
68224,1938,
68225,1897,
68226,1926,
68227,1905,
68228,1893,
68229,1926,
68230,1946,
68231,1924,
68232,1864,
68233,1948,
68234,1916,
68235,1906,
68236,1927,
68237,1923,1926
68238,1921,
68239,1923,
68240,1908,
68241,1916,
68242,1920,
68243,1900,1910
68244,1925,
68245,1880,
68246,1913,
68247,1945,
68248,1924,
68249,1901,
68250,1948,
68251,1912,
68252,1907,
68253,1942,
68254,1924,
68255,1913,
68256,1947,
68257,1917,1918
68258,1922,
68259,1922,
68260,1888,
68261,1920,
68262,1917,
68263,1917,
68264,1903,
68265,1901,1902
68266,1905,
68267,1924,
68268,1907,
68269,1865,
68270,1895,
68271,1908,
68272,1946,
68273,1882,1889
68274,1892,
68275,1909,1923
68276,1893,
68277,1897,
68278,1919,
68279,1908,
68280,1944,
68281,1921,
68282,1921,
68283,1928,
68284,1917,
68285,1890,
68286,1924,
68287,1896,
68288,1914,
68289,1896,
68290,1888,1892
68291,1918,
68292,1924,
68293,1886,
68294,1886,
68295,1886,
68296,1919,
68297,1926,
68298,1913,
68299,1906,
68300,1873,
68301,1918,
68302,1895,
68303,1901,1921
68304,1948,
68305,1956,
68306,1911,
68307,1923,
68308,1917,
68309,1905,
68310,1909,
68311,1916,
68312,1923,
68313,1947,
68314,1878,
68315,1858,
68316,1860,
68317,1860,
68318,1913,
68319,1910,
68320,1771,
68321,1923,
68322,1883,
68323,1890,
68324,1919,
68325,1944,1945
68326,1923,
68327,1924,
68328,1914,1915
68329,1955,
68330,1896,
68331,1948,
68332,1925,
68333,1922,
68334,1910,1922
68335,1947,
68336,1909,
68337,1784,
68338,1914,1915
68339,1885,
68340,1919,
68341,1909,
68342,1925,
68343,1872,1884
68344,1888,
68345,1916,
68346,1887,
68347,1887,
68348,1887,
68349,1892,1898
68350,1909,
68351,1893,
68352,1923,
68353,1926,
68354,1946,
68355,1830,
68356,1900,
68357,1912,1913
68358,1956,
68359,1898,
68360,1914,1915
68361,1914,1915
68362,1784,
68363,1872,1884
68364,1894,
68365,1922,
68367,1890,
68368,1910,1923
68369,1888,
68370,1895,
68371,1872,1884
68372,1947,
68373,1957,
68374,1957,
68375,1917,
68376,1914,1915
68377,1956,
68378,1947,
68379,1898,
68380,1956,
68381,1903,
68382,1895,
68383,1895,
68384,1895,
68385,1922,
68386,1895,
68387,1891,
68388,1893,
68389,1920,
68390,1913,
68391,1910,
68392,1909,
68393,1956,
68394,1882,1882
68395,1882,
68396,1894,
68397,1960,1968
68398,1918,
68399,1923,
68400,1922,
68401,1906,
68402,1919,
68403,1919,
68404,1906,
68405,1895,
68406,1824,
68407,1917,
68408,1906,
68409,1957,
68410,1957,
68411,1926,
68412,1759,
68413,1909,
68414,1767,
68415,1923,1932
68416,1871,
68417,1917,1921
68418,1947,
68419,1909,
68420,1924,
68421,1953,
68422,1908,
68423,1906,1924
68424,1851,
68425,1947,
68426,1926,
68427,1905,
68428,1926,
68430,1877,
68431,1906,
68433,1956,
68434,1924,
68436,1909,
68437,1899,
68438,1920,
68439,1892,
68440,1919,
68442,1919,
68443,1881,
68444,1870,
68445,1925,
68446,1903,
68447,1903,
68448,1906,
68449,1906,
68450,1924,
68451,1923,
68452,1891,
68453,1908,
68454,1916,
68457,1839,
68458,1918,
68459,1913,
68460,1914,1915
68461,1925,
68462,1922,
68463,1917,
68464,1913,
68465,1913,
68466,1960,
68467,1914,1915
68468,1883,
68469,1901,1902
68470,1910,
68471,1909,
68472,1859,
68473,1918,
68474,1914,1915
68475,1904,
68476,1845,
68479,1920,
68480,1898,
68481,1790,
68482,1872,1884
68483,1927,1928
68485,1889,
68486,1922,
68487,1925,
68488,1923,
68489,1919,
68490,1911,
68491,1820,
68492,1914,
68493,1909,1913
68494,1920,
68495,1920,
68496,1904,
68497,1921,
68498,1923,
68499,1914,1915
68500,1866,
68501,1918,
68502,1912,
68503,1923,
68504,1901,
68505,1894,
68506,1915,
68507,1872,1884
68508,1917,
68509,1925,
68510,1922,
68511,1921,
68512,1924,
68513,1872,1884
68514,1922,
68515,1840,
68516,1921,
68517,1898,
68519,1920,
68520,1922,
68521,1911,
68522,1880,1902
68523,1946,
68524,1922,
68525,1917,
68526,1908,
68527,1898,
68528,1922,
68529,1953,
68530,1911,
68531,1851,
68532,1901,
68533,1953,
68534,1881,
68535,1925,
68536,1834,
68537,1911,
68538,1872,1884
68539,1919,
68540,1959,
68541,1888,
68542,1918,
68543,1893,
68544,1889,
68545,1907,
68546,1915,1938
68547,1926,
68548,1924,
68549,1922,
68550,1924,
68551,1909,
68552,1917,
68553,1924,
68554,1921,
68555,1926,
68556,1898,
68557,1918,
68558,1939,
68559,1953,
68560,1919,
68561,1898,
68562,1922,
68563,1947,
68564,1890,
68565,1953,
68566,1905,
68567,1903,
68568,1899,
68569,1889,
68570,1932,
68571,1919,
68572,1930,
68573,1921,
68574,1925,
68575,1895,
68576,1906,
68577,1934,
68578,1881,
68579,1892,
68580,1895,
68581,1908,
68582,1899,
68583,1923,
68584,1899,
68585,1920,
68586,1897,
68587,1848,
